Dat,Site Name,Status,Priority,Severity,Screen Status,State,Case status,Type,Category,Reported Issue,Resolution,Queue Name,Region,Market,Creation Time,Last Update Time,Resolution time
1880011,Wanda XiAn Gaoxin,Solving,Minor,Low (Minor),UP,Japan,Solving,Web Support,Network,IMAGE GEOMETRY/ALIGNMENT ISSUE,Firmware Updated,APAC Dispatched,APAC,Market-Japan,3/12/2025 13:31,3/12/2025 13:31,0
1880012,Cineworld Birmingham,Solving,Major,Medium (Major),UP,Kuwait,Solving,Phone Call,Network,Disk Capacity Warning,Replaced Component,EMEA Issues,EMEA,Market-Kuwait,2/1/2025 13:31,2/3/2025 13:31,2
1880013,Major Cineplex Bangkok,Closed,Major,Medium (Major),UP,Singapore,Closed,Email Request,Network,Booth Audio Monitor Issue,Firmware Updated,APAC Issues,APAC,Market-Korea,5/2/2025 13:31,5/3/2025 13:31,1
1880014,Cinemark Century City,Resolved,Minor,Low (Minor),DOWN,TX,Resolved,Web Support,Automation,NO IMAGE,Firmware Updated,Customer Managed,Americas,Market-COLOH,6/10/2025 13:31,6/10/2025 13:31,0
1880015,Wanda Changsha,Under Review,Major,High (Major),UP,Japan,Under Review,Email Request,Projector,Application Not Responding,Replaced Qalif,APAC Issues,APAC,Market-China-CGV,11/4/2025 13:31,11/4/2025 13:31,0
1880016,Wanda Shanghai Darongcheng,Solving,Minor,Low (Minor),UP,Thailand,Solving,Email Request,Automation,Software Not Responding,Pending Resolution,APAC Issues,APAC,Market-Thailand,5/18/2025 13:31,5/18/2025 13:31,0
1880017,Vue Eindhoven,Closed,Informational,Low (Minor),DOWN,Netherlands,Closed,Web Support,Dolby Corridor,Screen Shaker Vibration,Replaced UPS Batteries,Future Work,EMEA,Market-Kuwait,8/2/2025 13:31,8/2/2025 13:31,0
1880018,Wanda Jiaxing,Solving,Major,Medium (Major),UP,Korea,Solving,Phone Call,Facility,UPS Issue,Software Update Applied,APAC Issues,APAC,Market-China-CGV,2/26/2025 13:31,2/26/2025 13:31,0
1880019,Cinemark Playa Vista,Resolved,Major,High (Major),UP,NJ,Resolved,Email Request,Network,IMPROPER AUDIO LEVEL,Network Configuration Fixed,Customer Managed,Americas,Market-SAD,6/6/2025 13:31,6/6/2025 13:31,0
1880020,Wanda XiAn Gaoxin,Resolved,Minor,Low (Minor),UP,Korea,Resolved,Email Request,Qalif,Content Update Request,Firmware Updated,APAC Dispatched,APAC,Market-Thailand,1/25/2025 13:31,1/25/2025 13:31,0
1880021,Wanda Shanghai Darongcheng,Under Review,Major,High (Major),UP,Singapore,Under Review,Phone Call,Qalif,INTERMITTENT AUDIO,Software Update Applied,APAC Issues,APAC,Market-Thailand,10/10/2025 13:31,10/10/2025 13:31,0
1880022,Pathe Gaumont Rennes,Solving,Informational,Low (Minor),UP,Netherlands,Solving,Web Support,Qalif,Content Update Request,Network Configuration Fixed,Future Work,EMEA,Market-Kuwait,7/22/2025 13:31,7/22/2025 13:31,0
1880023,Odeon Leicester Square,Solving,Major,High (Major),UP,France,Solving,Email Request,Dolby Corridor,IMAGE GEOMETRY/ALIGNMENT ISSUE,Hardware Replaced,Future Work,EMEA,Market-Netherlands-CN-CDS-VG,3/24/2025 13:31,3/24/2025 13:31,0
1880024,SF Cinema Tokyo,Resolved,Critical,High (Critical),UP,Thailand,Resolved,Email Request,Facility,TPC Display Issue,Adjusted Settings,APAC Issues,APAC,Market-Japan,10/18/2025 13:31,10/18/2025 13:31,0
1880025,Wanda Jiaxing,Under Review,Minor,Medium (Minor),UP,Korea,Under Review,Email Request,Audio,IMAGE GEOMETRY/ALIGNMENT ISSUE,Recalibrated System,APAC Issues,APAC,Market-Korea,11/10/2025 13:31,11/10/2025 13:31,0
1880026,Wanda Chengdu Wuhou,Solving,Major,Medium (Major),UP,Singapore,Solving,Email Request,Automation,IMAGE GEOMETRY/ALIGNMENT ISSUE,Pending Resolution,APAC Issues,APAC,Market-Korea,6/11/2025 13:31,6/12/2025 13:31,1
1880027,Dolby Headquarters 1,Solving,Major,High (Major),UP,NY,Solving,Email Request,Projector,CAN NOT POWER-UP COMPONENT,Network Configuration Fixed,3rd Party Issues,Americas,Market-NJ,8/3/2025 13:31,8/3/2025 13:31,0
1880028,Wanda Changsha,Resolved,Minor,Low (Minor),UP,China,Resolved,Web Support,Projector,INTERMITTENT AUDIO,Network Configuration Fixed,APAC Issues,APAC,Market-Korea,10/21/2025 13:31,10/21/2025 13:31,0
1880029,Pathe Belle Epine - Thiais,Under Review,Major,Medium (Major),UP,France,Under Review,Email Request,Facility,Screen Shaker Vibration,Pending Resolution,EMEA Dispatched,EMEA,Market-Saudi Arabia,4/23/2025 13:31,4/24/2025 13:31,1
1880030,Lotte Cinema Seoul,Solving,Critical,High (Critical),DOWN,Singapore,Solving,Email Request,Automation,TPC Display Issue,Adjusted Settings,APAC Issues,APAC,Market-Japan,11/1/2025 13:31,11/1/2025 13:31,0
1880031,Odeon Leicester Square,Closed,Minor,Low (Minor),UP,England,Closed,Phone Call,Facility,Hardware Issues,Power cycled / Reboot Server,Future Work,EMEA,Market-Kuwait,12/30/2024 13:31,12/30/2024 13:31,0
1880032,Major Cineplex Bangkok,Resolved,Minor,Low (Minor),UP,Thailand,Resolved,Email Request,Projector,UPS Issue,Replaced Qalif,APAC Dispatched,APAC,Market-China-CGV,7/13/2025 13:31,7/13/2025 13:31,0
1880033,Vue Eindhoven,Resolved,Informational,Low (Minor),Please Specify,Kuwait,Resolved,Email Request,Automation,Content Update Request,Software Update Applied,Future Work,EMEA,Market-Saudi Arabia,11/7/2025 13:31,11/7/2025 13:31,0
1880034,CGV Seoul Gangnam,Solving,Major,High (Major),UP,Thailand,Solving,Web Support,Qalif,IMAGE GEOMETRY/ALIGNMENT ISSUE,Power cycled / Reboot Server,APAC Issues,APAC,Market-Singapore,1/18/2025 13:31,1/18/2025 13:31,0
1880035,Odeon Leicester Square,Resolved,Informational,Low (Minor),UP,Germany,Resolved,Email Request,Dolby Corridor,Color Calibration Required,Replaced UPS Batteries,Future Work,EMEA,Market-Saudi Arabia,10/10/2025 13:31,10/10/2025 13:31,0
1880036,Muvi Mall of Dhahran,Under Review,Major,High (Major),UP,Netherlands,Under Review,Email Request,Network,Application Not Responding,Recalibrated System,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,6/15/2025 13:31,6/19/2025 13:31,4
1880037,Pathe Nice Gare Du Sud,Under Review,Critical,High (Critical),Please Specify,Netherlands,Under Review,Email Request,Projector,Booth Audio Monitor Issue,Pending Resolution,EMEA Issues,EMEA,Market-Kuwait,4/20/2025 13:31,4/20/2025 13:31,0
1880038,CGV Seoul Gangnam,Closed,Major,Medium (Major),UP,Korea,Closed,Email Request,Facility,UPS Issue,Replaced Qalif,APAC Issues,APAC,Market-Singapore,7/3/2025 13:31,7/3/2025 13:31,0
1880039,AMC Empire 25 - 0552,Under Review,Major,High (Major),UP,CA,Under Review,Web Support,Audio,Booth Audio Monitor Issue,Power cycled / Reboot Server,Customer Managed,Americas,Market-SAD,1/19/2025 13:31,1/19/2025 13:31,0
1880040,AMC Empire 25 - 0552,Closed,Informational,Low (Minor),UP,TN,Closed,Web Support,Audio,Network Connectivity Issue,Power cycled / Reboot Server,CSE Dispatched,Americas,Market-NJ,6/6/2025 13:31,6/6/2025 13:31,0
1880041,Muvi Mall of Dhahran,Resolved,Minor,Medium (Minor),UP,England,Resolved,Email Request,Facility,NO IMAGE,Replaced Qalif,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,10/3/2025 13:31,10/3/2025 13:31,0
1880042,Dolby Burbank Umlang,Under Review,Major,Medium (Major),UP,TN,Under Review,Email Request,Screen / Masking,Content Update Request,Hardware Replaced,3rd Party Issues,Americas,Market-NY,2/13/2025 13:31,2/14/2025 13:31,1
1880043,Vue London Leicester Square,Solving,Major,High (Major),DOWN,England,Solving,Web Support,Dolby Corridor,INTERMITTENT AUDIO,Network Configuration Fixed,EMEA Issues,EMEA,Market-UK-CDS-VUK-CDS,9/18/2025 13:31,9/18/2025 13:31,0
1880044,AMC Staten Island Mall 11 - 0558,Solving,Minor,Medium (Minor),UP,OH,Solving,Email Request,Qalif,Application Not Responding,Replaced Qalif,3rd Party Issues,Americas,Market-CA,2/18/2025 13:31,2/18/2025 13:31,0
1880045,AMC Mission Valley 20 - 0246,Resolved,Major,High (Major),UP,TN,Resolved,Email Request,Automation,Network Connectivity Issue,Software Update Applied,CSE Dispatched,Americas,Market-SAD,7/16/2025 13:31,7/17/2025 13:31,1
1880046,Pathe Nice Gare Du Sud,Solving,Major,Medium (Major),UP,England,Solving,Web Support,Projector,Software Not Responding,Recalibrated System,EMEA Dispatched,EMEA,Market-Saudi Arabia,3/14/2025 13:31,3/14/2025 13:31,0
1880047,CGV Seoul Gangnam,Closed,Major,High (Major),UP,Korea,Closed,Web Support,Facility,Laser Module Driver Warning,Network Configuration Fixed,APAC Dispatched,APAC,Market-Singapore,11/19/2025 13:31,11/19/2025 13:31,0
1880048,Pathe Belle Epine - Thiais,Resolved,Critical,High (Critical),DOWN,Netherlands,Resolved,Email Request,Network,Hardware Issues,Network Configuration Fixed,Future Work,EMEA,Market-Saudi Arabia,1/30/2025 13:31,1/30/2025 13:31,0
1880049,Wanda Changsha,Resolved,Minor,Low (Minor),UP,Singapore,Resolved,Email Request,Audio,Software Not Responding,Recalibrated System,APAC Dispatched,APAC,Market-China-CGV,9/4/2025 13:31,9/4/2025 13:31,0
1880050,Odeon Leicester Square,Resolved,Minor,Low (Minor),UP,Germany,Resolved,Email Request,Projector,IMAGE GEOMETRY/ALIGNMENT ISSUE,Replaced UPS Batteries,EMEA Dispatched,EMEA,Market-Saudi Arabia,12/30/2024 13:31,12/30/2024 13:31,0
1880051,Wanda XiAn Gaoxin,Solving,Major,High (Major),UP,Korea,Solving,Email Request,Screen / Masking,INTERMITTENT AUDIO,Software Update Applied,APAC Dispatched,APAC,Market-China-CGV,9/25/2025 13:31,9/25/2025 13:31,0
1880052,Dolby Burbank Umlang,Under Review,Minor,Low (Minor),UP,KY,Under Review,Web Support,Automation,IMAGE GEOMETRY/ALIGNMENT ISSUE,Adjusted Settings,CSE Dispatched,Americas,Market-SAF,10/19/2025 13:31,10/19/2025 13:31,0
1880053,Cineworld Birmingham,Solving,Major,High (Major),UP,England,Solving,Email Request,Audio,IMAGE DISCOLORATION,Replaced Component,EMEA Issues,EMEA,Market-Kuwait,9/3/2025 13:31,9/4/2025 13:31,1
1880054,Wanda Jiaxing,Resolved,Major,High (Major),UP,Japan,Resolved,Email Request,Projector,Hardware Issues,Replaced Component,APAC Dispatched,APAC,Market-China-CGV,1/10/2025 13:31,1/10/2025 13:31,0
1880055,KNCC Cinescape Avenues,Resolved,Major,High (Major),UP,Germany,Resolved,Web Support,Screen / Masking,TPC Display Issue,Network Configuration Fixed,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,4/3/2025 13:31,4/3/2025 13:31,0
1880056,Vue Hilversum,Resolved,Minor,Low (Minor),UP,France,Resolved,Email Request,Projector,Software Not Responding,Hardware Replaced,EMEA Dispatched,EMEA,Market-Saudi Arabia,5/12/2025 13:31,5/12/2025 13:31,0
1880057,AMC Dine-In Thoroughbred 20 - 4457,Solving,Major,Medium (Major),DOWN,CA,Solving,Email Request,Qalif,INTERMITTENT AUDIO,Software Update Applied,CSE Dispatched,Americas,Market-SAD,2/10/2025 13:31,2/10/2025 13:31,0
1880058,Wanda Shanghai Darongcheng,Resolved,Minor,Low (Minor),UP,Thailand,Resolved,Email Request,Automation,IMPROPER AUDIO LEVEL,Recalibrated System,APAC Dispatched,APAC,Market-Korea,10/10/2025 13:31,10/10/2025 13:31,0
1880059,KNCC Cinescape Avenues,Solving,Major,High (Major),UP,Netherlands,Solving,Email Request,Automation,Color Calibration Required,Network Configuration Fixed,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,11/3/2025 13:31,11/3/2025 13:31,0
1880060,Muvi Mall of Dhahran,Solving,Major,High (Major),UP,France,Solving,Email Request,Automation,Color Calibration Required,Adjusted Settings,EMEA Issues,EMEA,Market-France-ADDE-CDS,8/26/2025 13:31,8/27/2025 13:31,1
1880061,Pathe Massy,Solving,Major,Medium (Major),DOWN,France,Solving,Email Request,Dolby Corridor,TPC Display Issue,Adjusted Settings,EMEA Dispatched,EMEA,Market-Saudi Arabia,11/25/2025 13:31,11/26/2025 13:31,1
1880062,AMC Dine-In Thoroughbred 20 - 4457,Under Review,Major,Medium (Major),UP,NY,Under Review,Web Support,Dolby Corridor,Booth Audio Monitor Issue,Power cycled / Reboot Server,Customer Managed,Americas,Market-SAD,4/30/2025 13:31,5/1/2025 13:31,1
1880063,Cineworld Birmingham,Under Review,Critical,High (Critical),DOWN,France,Under Review,Email Request,Facility,Booth Temperature Issue,Recalibrated System,EMEA Issues,EMEA,Market-Netherlands-CN-CDS-VG,9/24/2025 13:31,9/24/2025 13:31,0
1880064,SF Cinema Tokyo,Solving,Major,Medium (Major),Please Specify,China,Solving,Email Request,Facility,CAN NOT POWER-UP COMPONENT,Pending Resolution,APAC Issues,APAC,Market-Hong Kong,4/29/2025 13:31,4/29/2025 13:31,0
1880065,CGV Shanghai Fudi,Solving,Minor,Low (Minor),UP,Japan,Solving,Email Request,Audio,Screen Shaker Vibration,Replaced Component,APAC Dispatched,APAC,Market-Singapore,1/11/2025 13:31,1/11/2025 13:31,0
1880066,Wanda XiAn Gaoxin,Solving,Minor,Medium (Minor),UP,Korea,Solving,Email Request,Qalif,UPS Issue,Hardware Replaced,APAC Issues,APAC,Market-Singapore,3/16/2025 13:31,3/16/2025 13:31,0
1880067,Wanda Shanghai Darongcheng,Resolved,Major,Medium (Major),UP,Korea,Resolved,Web Support,Network,TPC Display Issue,Recalibrated System,APAC Dispatched,APAC,Market-China-CGV,6/14/2025 13:31,6/14/2025 13:31,0
1880068,Wanda Chengdu Wuhou,Solving,Critical,High (Critical),UP,Japan,Solving,Email Request,Screen / Masking,INTERMITTENT AUDIO,Replaced Component,APAC Dispatched,APAC,Market-Korea,5/15/2025 13:31,5/15/2025 13:31,0
1880069,Kinopolis Munich,Under Review,Major,High (Major),UP,Germany,Under Review,Email Request,Automation,IMAGE DISCOLORATION,Recalibrated System,EMEA Issues,EMEA,Market-Kuwait,7/29/2025 13:31,7/30/2025 13:31,1
1880070,AMC Dine-In Thoroughbred 20 - 4457,Solving,Major,Medium (Major),UP,NY,Solving,Email Request,Qalif,Booth Audio Monitor Issue,Software Update Applied,3rd Party Issues,Americas,Market-SAF,9/12/2025 13:31,9/12/2025 13:31,0
1880071,AMC Staten Island Mall 11 - 0558,Under Review,Major,Medium (Major),UP,KY,Under Review,Web Support,Qalif,Booth Temperature Issue,Network Configuration Fixed,3rd Party Issues,Americas,Market-CA,1/17/2025 13:31,1/17/2025 13:31,0
1880072,Lotte Cinema Seoul,Under Review,Minor,Low (Minor),UP,China,Under Review,Email Request,Automation,TPC Display Issue,Replaced Component,APAC Dispatched,APAC,Market-Korea,3/4/2025 13:31,3/4/2025 13:31,0
1880073,Wanda Changsha,Resolved,Minor,Medium (Minor),UP,Thailand,Resolved,Email Request,Audio,INTERMITTENT AUDIO,Adjusted Settings,APAC Issues,APAC,Market-China-CGV,5/9/2025 13:31,5/9/2025 13:31,0
1880074,AMC Staten Island Mall 11 - 0558,Solving,Minor,Low (Minor),UP,NY,Solving,Email Request,Screen / Masking,NO IMAGE,Replaced Component,CSE Dispatched,Americas,Market-NY,11/9/2025 13:31,11/9/2025 13:31,0
1880075,AMC Dine-In Thoroughbred 20 - 4457,Solving,Major,High (Major),UP,OH,Solving,Web Support,Qalif,Hardware Issues,Software Update Applied,EM3 Issues,Americas,Market-NY,11/1/2025 13:31,11/1/2025 13:31,0
1880076,Dolby Headquarters 1,Resolved,Critical,High (Critical),UP,NY,Resolved,Email Request,Projector,Booth Temperature Issue,Software Update Applied,3rd Party Issues,Americas,Market-NSH,6/3/2025 13:31,6/3/2025 13:31,0
1880077,Lotte Cinema Seoul,Under Review,Minor,Low (Minor),UP,Japan,Under Review,Web Support,Projector,TPC Display Issue,Recalibrated System,APAC Issues,APAC,Market-Singapore,1/29/2025 13:31,1/29/2025 13:31,0
1880078,Wanda Jiaxing,Solving,Minor,Medium (Minor),UP,China,Solving,Email Request,Facility,IMPROPER AUDIO LEVEL,Replaced Component,APAC Issues,APAC,Market-Japan,1/19/2025 13:31,1/19/2025 13:31,0
1880079,Vue Hilversum,Solving,Major,High (Major),DOWN,Netherlands,Solving,Email Request,Facility,Auditorium Lighting Issue,Pending Resolution,EMEA Issues,EMEA,Market-Saudi Arabia,5/25/2025 13:31,5/31/2025 13:31,6
1880080,Kinopolis Munich,Resolved,Major,Medium (Major),UP,France,Resolved,Email Request,Screen / Masking,IMPROPER AUDIO LEVEL,Recalibrated System,EMEA Dispatched,EMEA,Market-Netherlands-CN-CDS-VG,5/17/2025 13:31,5/18/2025 13:31,1
1880081,Cinemark Playa Vista,Solving,Minor,Medium (Minor),Please Specify,TN,Solving,Web Support,Screen / Masking,PLAYBACK STOPPED UNEXPECTEDLY,Hardware Replaced,EM3 Issues,Americas,Market-NSH,11/15/2025 13:31,11/15/2025 13:31,0
1880082,AMC Lincoln Square 13 - 2310,Resolved,Critical,High (Critical),UP,TN,Resolved,Email Request,Dolby Corridor,Content Update Request,Network Configuration Fixed,Customer Managed,Americas,Market-NY,3/12/2025 13:31,3/12/2025 13:31,0
1880083,AMC Staten Island Mall 11 - 0558,Under Review,Major,Medium (Major),DOWN,NY,Under Review,Email Request,Screen / Masking,Network Connectivity Issue,Power cycled / Reboot Server,3rd Party Issues,Americas,Market-NJ,7/4/2025 13:31,7/4/2025 13:31,0
1880084,CGV Seoul Gangnam,Under Review,Minor,Low (Minor),UP,Thailand,Under Review,Email Request,Projector,NO IMAGE,Replaced Qalif,APAC Dispatched,APAC,Market-Thailand,6/9/2025 13:31,6/9/2025 13:31,0
1880085,Cinemark Century City,Under Review,Critical,High (Critical),UP,OH,Under Review,Email Request,Screen / Masking,Hardware Issues,Network Configuration Fixed,3rd Party Issues,Americas,Market-NY,1/14/2025 13:31,1/14/2025 13:31,0
1880086,Major Cineplex Bangkok,Closed,Critical,High (Critical),DOWN,Thailand,Closed,Phone Call,Screen / Masking,CAN NOT POWER-UP COMPONENT,Replaced Component,APAC Dispatched,APAC,Market-Singapore,7/2/2025 13:31,7/2/2025 13:31,0
1880087,Dolby Headquarters 1,Solving,Major,Medium (Major),UP,CA,Solving,Phone Call,Automation,PLAYBACK STOPPED UNEXPECTEDLY,Hardware Replaced,CSE Dispatched,Americas,Market-NY,1/16/2025 13:31,1/17/2025 13:31,1
1880088,Pathe Belle Epine - Thiais,Solving,Major,High (Major),DOWN,England,Solving,Web Support,Facility,IMPROPER AUDIO LEVEL,Hardware Replaced,EMEA Dispatched,EMEA,Market-UK-CDS-VUK-CDS,11/9/2025 13:31,11/10/2025 13:31,1
1880089,CGV Beijing Wanda,Solving,Minor,Medium (Minor),UP,Korea,Solving,Email Request,Audio,Software Not Responding,Replaced UPS Batteries,APAC Issues,APAC,Market-Hong Kong,3/29/2025 13:31,3/29/2025 13:31,0
1880090,AMC Empire 25 - 0552,Solving,Major,Medium (Major),UP,NJ,Solving,Web Support,Facility,Software Not Responding,Adjusted Settings,Customer Managed,Americas,Market-LA,10/24/2025 13:31,10/29/2025 13:31,5
1880091,CGV Seoul Gangnam,Resolved,Major,High (Major),UP,Singapore,Resolved,Email Request,Dolby Corridor,Booth Audio Monitor Issue,Hardware Replaced,APAC Issues,APAC,Market-Japan,6/22/2025 13:31,6/22/2025 13:31,0
1880092,CGV Beijing Wanda,Solving,Major,Medium (Major),Please Specify,Singapore,Solving,Email Request,Dolby Corridor,Booth Temperature Issue,Replaced UPS Batteries,APAC Issues,APAC,Market-Thailand,11/11/2025 13:31,11/11/2025 13:31,0
1880093,AMC Mission Valley 20 - 0246,Resolved,Minor,Medium (Minor),DOWN,NJ,Resolved,Phone Call,Facility,Screen Shaker Vibration,Replaced UPS Batteries,EM3 Issues,Americas,Market-SAF,6/5/2025 13:31,6/5/2025 13:31,0
1880094,Pathe Belle Epine - Thiais,Resolved,Major,High (Major),DOWN,Netherlands,Resolved,Email Request,Qalif,TPC Display Issue,Hardware Replaced,EMEA Issues,EMEA,Market-France-ADDE-CDS,1/11/2025 13:31,1/11/2025 13:31,0
1880095,Odeon Leicester Square,Under Review,Major,High (Major),UP,Germany,Under Review,Email Request,Network,UPS Issue,Software Update Applied,Future Work,EMEA,Market-Germany,2/10/2025 13:31,2/11/2025 13:31,1
1880096,Cinemark Playa Vista,Resolved,Minor,Low (Minor),UP,CA,Resolved,Email Request,Qalif,Application Not Responding,Software Update Applied,3rd Party Issues,Americas,Market-SAF,3/29/2025 13:31,3/29/2025 13:31,0
1880097,CGV Beijing Wanda,Solving,Major,Medium (Major),UP,Korea,Solving,Email Request,Audio,PLAYBACK STOPPED UNEXPECTEDLY,Hardware Replaced,APAC Dispatched,APAC,Market-China-CGV,7/6/2025 13:31,7/6/2025 13:31,0
1880098,Wanda Chengdu Wuhou,Solving,Minor,Low (Minor),DOWN,China,Solving,Phone Call,Qalif,Booth Audio Monitor Issue,Replaced Component,APAC Dispatched,APAC,Market-Hong Kong,1/12/2025 13:31,1/12/2025 13:31,0
1880099,Pathe Belle Epine - Thiais,Resolved,Major,High (Major),UP,Netherlands,Resolved,Email Request,Automation,Network Connectivity Issue,Replaced Qalif,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,8/31/2025 13:31,9/1/2025 13:31,1
1880100,Pathe Massy,Under Review,Major,High (Major),UP,Germany,Under Review,Web Support,Qalif,Content Update Request,Replaced Component,EMEA Dispatched,EMEA,Market-Germany,9/28/2025 13:31,9/28/2025 13:31,0
1880101,Pathe Nice Gare Du Sud,Resolved,Critical,High (Critical),UP,France,Resolved,Web Support,Projector,Booth Temperature Issue,Network Configuration Fixed,EMEA Issues,EMEA,Market-France-ADDE-CDS,2/6/2025 13:31,2/7/2025 13:31,1
1880102,Major Cineplex Bangkok,Closed,Critical,High (Critical),DOWN,China,Closed,Email Request,Dolby Corridor,Laser Module Driver Warning,Adjusted Settings,APAC Dispatched,APAC,Market-Thailand,3/28/2025 13:31,3/29/2025 13:31,1
1880103,Pathe Rouen Docks 76,Solving,Minor,Medium (Minor),UP,France,Solving,Email Request,Network,INTERMITTENT AUDIO,Hardware Replaced,EMEA Dispatched,EMEA,Market-Germany,12/27/2024 13:31,12/27/2024 13:31,0
1880104,Odeon Leicester Square,Solving,Major,High (Major),DOWN,France,Solving,Email Request,Qalif,PLAYBACK STOPPED UNEXPECTEDLY,Pending Resolution,Future Work,EMEA,Market-Germany,3/10/2025 13:31,3/10/2025 13:31,0
1880105,Wanda XiAn Gaoxin,Solving,Informational,Low (Minor),UP,Japan,Solving,Web Support,Facility,TPC Display Issue,Network Configuration Fixed,APAC Issues,APAC,Market-Hong Kong,3/14/2025 13:31,3/14/2025 13:31,0
1880106,Pathe Gaumont Rennes,Closed,Major,High (Major),UP,France,Closed,Email Request,Qalif,Hardware Issues,Replaced UPS Batteries,EMEA Issues,EMEA,Market-France-ADDE-CDS,5/3/2025 13:31,5/4/2025 13:31,1
1880107,Cineworld Birmingham,Solving,Informational,Low (Minor),UP,Germany,Solving,Phone Call,Dolby Corridor,IMAGE GEOMETRY/ALIGNMENT ISSUE,Hardware Replaced,Future Work,EMEA,Market-Germany,3/26/2025 13:31,3/27/2025 13:31,1
1880108,CGV Shanghai Fudi,Under Review,Minor,Medium (Minor),Please Specify,Japan,Under Review,Email Request,Audio,UPS Issue,Firmware Updated,APAC Issues,APAC,Market-China-CGV,2/5/2025 13:31,2/5/2025 13:31,0
1880109,Wanda Changsha,Solving,Minor,Medium (Minor),UP,Thailand,Solving,Email Request,Dolby Corridor,Software Not Responding,Software Update Applied,APAC Issues,APAC,Market-Korea,1/19/2025 13:31,1/19/2025 13:31,0
1880110,Dolby Burbank Umlang,Solving,Major,High (Major),DOWN,CA,Solving,Email Request,Network,TPC Display Issue,Adjusted Settings,CSE Dispatched,Americas,Market-CA,1/26/2025 13:31,1/27/2025 13:31,1
1880111,Pathe Nice Gare Du Sud,Resolved,Informational,Low (Minor),UP,France,Resolved,Web Support,Projector,Application Not Responding,Firmware Updated,EMEA Issues,EMEA,Market-Saudi Arabia,1/6/2025 13:31,1/7/2025 13:31,1
1880112,Pathe Rouen Docks 76,Closed,Major,High (Major),UP,France,Closed,Email Request,Dolby Corridor,Color Calibration Required,Pending Resolution,EMEA Dispatched,EMEA,Market-Saudi Arabia,9/11/2025 13:31,9/11/2025 13:31,0
1880113,Odeon Leicester Square,Solving,Major,Medium (Major),UP,Netherlands,Solving,Email Request,Audio,Color Calibration Required,Power cycled / Reboot Server,EMEA Dispatched,EMEA,Market-France-ADDE-CDS,3/6/2025 13:31,3/6/2025 13:31,0
